x	y	z	DNA Damage/Telomere Stress Induced Senescence
227	291	27	1
234	291	27	1
235	291	27	1
242	291	27	1
243	291	27	1
257	291	27	1
213	292	27	2
219	292	27	1
223	292	27	1
227	292	27	1
229	292	27	1
235	292	27	1
248	292	27	1
249	292	27	1
251	292	27	1
210	293	27	1
224	293	27	1
234	293	27	1
244	293	27	1
249	293	27	1
250	293	27	1
213	294	27	1
225	294	27	1
236	294	27	1
237	294	27	1
238	294	27	1
246	294	27	1
248	294	27	1
250	294	27	1
251	294	27	1
252	294	27	1
257	294	27	2
222	295	27	1
239	295	27	1
249	295	27	1
255	295	27	4
236	296	27	1
221	297	27	1
243	297	27	1
248	297	27	1
249	297	27	1
251	297	27	1
223	298	27	1
224	298	27	1
226	298	27	1
244	298	27	1
245	299	27	1
246	299	27	1
249	299	27	1
226	300	27	1
227	300	27	1
228	300	27	1
231	300	27	1
247	300	27	1
224	301	27	1
239	301	27	1
245	301	27	1
238	302	27	1
244	304	27	1
230	262	28	1
235	266	28	2
231	267	28	2
234	267	28	1
237	268	28	1
236	269	28	1
238	269	28	1
236	271	28	1
237	271	28	2
206	272	28	1
233	272	28	1
235	274	28	1
234	276	28	1
238	277	28	1
235	280	28	1
239	280	28	1
251	280	28	1
208	281	28	1
248	281	28	1
235	282	28	2
251	282	28	1
238	283	28	1
248	284	28	1
248	285	28	1
247	286	28	1
244	287	28	1
248	287	28	1
251	287	28	1
244	288	28	1
228	289	28	1
247	289	28	1
244	290	28	1
245	290	28	1
237	291	28	1
245	292	28	2
250	293	28	2
249	294	28	1
240	296	28	1
240	298	28	1
236	300	28	1
229	255	29	1
233	256	29	1
235	256	29	1
235	257	29	2
227	261	29	1
221	262	29	1
231	263	29	1
232	263	29	1
234	263	29	1
248	263	29	1
237	264	29	1
238	264	29	2
245	264	29	1
248	264	29	1
226	265	29	1
233	265	29	1
235	265	29	1
238	265	29	1
239	265	29	1
178	266	29	1
197	266	29	1
229	266	29	1
232	266	29	2
237	266	29	1
192	267	29	1
194	268	29	1
217	268	29	1
226	268	29	1
239	268	29	1
193	269	29	1
249	269	29	1
232	270	29	2
234	270	29	1
237	270	29	1
250	270	29	1
204	271	29	1
214	272	29	1
233	272	29	1
235	272	29	1
239	272	29	1
207	273	29	1
249	273	29	2
250	273	29	1
215	275	29	1
240	275	29	2
204	276	29	1
233	276	29	1
234	276	29	1
236	276	29	1
237	276	29	1
249	276	29	1
250	276	29	1
236	277	29	2
240	277	29	1
247	277	29	1
204	278	29	1
208	278	29	1
238	278	29	1
244	278	29	1
245	278	29	3
206	279	29	1
238	279	29	1
233	280	29	1
241	280	29	1
237	281	29	1
251	281	29	1
233	282	29	1
245	282	29	1
246	282	29	1
249	282	29	1
250	282	29	1
209	283	29	2
234	284	29	1
249	284	29	1
219	285	29	1
227	285	29	1
241	285	29	1
247	285	29	1
232	286	29	1
234	286	29	1
236	286	29	1
247	286	29	1
249	286	29	1
228	287	29	1
236	287	29	1
238	287	29	1
240	287	29	2
225	288	29	2
235	288	29	1
237	289	29	1
244	289	29	1
246	289	29	1
227	290	29	1
238	291	29	1
247	291	29	2
249	291	29	2
225	292	29	1
236	292	29	1
249	292	29	2
222	293	29	1
223	293	29	1
246	293	29	1
248	293	29	2
244	294	29	1
249	294	29	3
251	294	29	1
221	295	29	1
240	295	29	1
239	297	29	1
241	297	29	1
243	297	29	1
245	297	29	1
246	297	29	1
215	298	29	1
219	298	29	1
221	298	29	1
237	298	29	1
239	298	29	2
242	298	29	1
237	299	29	1
240	299	29	1
225	300	29	1
226	300	29	1
236	301	29	1
233	252	30	1
231	253	30	2
231	254	30	1
233	254	30	1
227	255	30	1
181	257	30	1
228	257	30	1
230	257	30	1
239	257	30	1
240	257	30	1
181	258	30	1
203	258	30	1
236	258	30	1
239	258	30	1
183	259	30	1
206	259	30	1
210	259	30	1
224	259	30	2
227	259	30	1
230	259	30	2
232	259	30	1
234	259	30	1
241	259	30	1
197	260	30	1
212	260	30	1
217	260	30	1
223	260	30	1
238	260	30	1
239	260	30	1
184	261	30	1
186	261	30	2
194	261	30	1
198	261	30	1
231	261	30	1
239	261	30	1
218	262	30	1
220	262	30	1
188	263	30	1
197	263	30	1
224	263	30	1
230	263	30	2
233	263	30	1
246	263	30	1
225	264	30	1
239	264	30	1
191	265	30	1
216	265	30	1
232	265	30	1
233	265	30	2
235	265	30	1
236	265	30	1
239	265	30	2
246	265	30	1
248	265	30	2
213	266	30	1
215	266	30	1
219	266	30	1
226	266	30	2
228	266	30	1
189	267	30	1
196	267	30	1
198	267	30	1
225	267	30	1
228	267	30	2
241	267	30	1
245	267	30	1
247	267	30	1
196	268	30	1
211	268	30	1
226	268	30	1
239	268	30	1
241	268	30	1
244	268	30	1
248	268	30	1
249	268	30	2
194	269	30	1
197	269	30	1
199	269	30	2
204	269	30	1
214	269	30	1
222	269	30	1
232	269	30	1
236	269	30	1
242	269	30	2
249	269	30	1
250	269	30	1
178	270	30	1
179	270	30	1
181	270	30	1
184	270	30	1
196	270	30	1
214	270	30	1
227	270	30	1
232	270	30	1
188	271	30	1
207	271	30	2
215	271	30	1
232	271	30	1
233	271	30	1
239	271	30	2
243	271	30	1
244	271	30	1
247	271	30	1
180	272	30	1
184	272	30	1
185	272	30	1
203	272	30	1
223	272	30	1
235	272	30	1
236	272	30	1
238	272	30	2
239	272	30	2
240	272	30	1
247	272	30	1
182	273	30	1
204	273	30	1
213	273	30	1
233	273	30	1
239	273	30	1
241	273	30	1
177	274	30	1
185	274	30	1
203	274	30	1
229	274	30	1
234	274	30	1
180	275	30	1
185	275	30	2
203	275	30	1
212	275	30	1
215	275	30	1
236	275	30	1
237	275	30	1
239	275	30	1
251	275	30	1
232	276	30	1
236	276	30	2
241	276	30	1
174	277	30	1
205	277	30	1
238	277	30	1
239	277	30	1
245	277	30	1
250	277	30	1
203	278	30	1
204	278	30	1
205	278	30	1
206	278	30	1
208	278	30	1
238	278	30	1
249	278	30	1
207	279	30	1
236	279	30	1
239	279	30	2
241	279	30	1
249	279	30	2
250	279	30	1
251	279	30	1
232	280	30	2
242	280	30	1
244	280	30	1
245	280	30	1
254	280	30	2
181	281	30	1
237	281	30	1
243	281	30	1
247	281	30	1
251	281	30	1
235	282	30	1
241	282	30	1
245	282	30	2
247	282	30	1
248	282	30	1
179	283	30	1
209	283	30	1
236	283	30	1
