x	y	z	NEP/NS2 Interacts with the Cellular Export Machinery
207	279	30	2
235	279	30	1
237	279	30	1
238	279	30	1
239	279	30	1
243	279	30	1
247	279	30	1
250	279	30	2
254	279	30	1
219	280	30	1
226	280	30	2
232	280	30	1
233	280	30	1
239	280	30	1
242	280	30	1
244	280	30	2
254	280	30	1
217	281	30	1
233	281	30	1
235	281	30	1
241	281	30	1
245	281	30	1
246	281	30	2
252	281	30	1
172	282	30	1
177	282	30	1
179	282	30	1
210	282	30	3
215	282	30	1
220	282	30	2
221	282	30	1
222	282	30	1
223	282	30	3
238	282	30	1
240	282	30	1
251	282	30	2
254	282	30	2
215	283	30	1
219	283	30	1
232	283	30	1
238	283	30	1
248	283	30	1
249	283	30	2
173	284	30	1
177	284	30	1
181	284	30	2
230	284	30	1
231	284	30	1
236	284	30	3
240	284	30	2
243	284	30	2
245	284	30	1
258	284	30	1
220	285	30	1
222.5	285.5	30.5	2
225	285	30	1
226	285	30	1
232	285	30	2
237	285	30	1
242	285	30	1
245	285.666666666667	31	1
180	286	30	1
205	286	30	1
222	286	30	1
223	286	30	1
231	286	30	1
241	286	30	1
244	286	30	1
246	286	30	1
249	286	30	1
251	286	30	2
252	286	30	1
255	286	30	1
256	286	30	1
207	287	30	1
219	287	30	1
225	287	30	2
226	287	30	1
233	287	30	2
234	287	30	1
244	287	30	3
252	287	30	1
223	288	30	1
225	288	30	2
228	288	30	2
231	288	30	1
232	288	30	2
235	288	30	1
241	288	30	1
246	288	30	1
247	288	30	1
249	288	30	1
199	289	30	1
200	289	30	1
228	289	30	1
230	289	30	1
231	289	30	1
237	289	30	1
245	289	30	1
250	289	30	1
224	290	30	1
225	290	30	2
235	290	30	1
236	290	30	1
241	290	30	1
248	290	30	1
253	290	30	1
197	291	30	1
223	291	30	1
232	291	30	1
234	291	30	1
235	291	30	1
237	291	30	1
241	291	30	2
242	291	30	1
245	291	30	1
246	291	30	1
247	291	30	1
249	291	30	1
251	291	30	2
194	292	30	1
197	292	30	1
203	292	30	1
223	292	30	2
228	292	30	2
235	292	30	1
237	292	30	1
243	292	30	1
245	292	30	1
251	292	30	1
201	293	30	1
223	293	30	1
224	293	30	1
240	293	30	1
245	293	30	2
250	293	30	1
251	293	30	1
