x	y	z	RNA Polymerase II Promoter Escape
243	295	29	2
244	295	29	1
245	295	29	1
247	295	29	1
239	296	29	1
249	296	29	2
238	297	29	1
241	297	29	2
245	297	29	3
224	298	29	1
248	298	29	1
221	299	29	1
222	299	29	1
227	299	29	2
237	299	29	1
240	299	29	1
235	300	29	1
236	300	29	3
237	300	29	1
239	300	29	1
240	300	29	1
223	301	29	1
241	301	29	1
235	302	29	1
240	303	29	2
229	250	30	1
215	252	30	1
233	252	30	1
232	253	30	2
232	254	30	1
236	254	30	1
229	255	30	1
232	255	30	2
232	256	30	1
235	256	30	1
190	257	30	1
203	257	30	1
236	257	30	1
237	257	30	1
239	257	30	3
240	257	30	1
186	258	30	1
203	258	30	1
226	258	30	1
229	258	30	1
237	258	30	2
195	259	30	1
205	259	30	1
210	259	30	1
218	259	30	1
226	259	30	1
228	259	30	1
231	259	30	1
232	259	30	1
234	259	30	1
235	259	30	1
237	259	30	1
238	259	30	1
241	259	30	1
197	260	30	1
212	260	30	1
216	260	30	1
225	260	30	1
227	260	30	1
231	260	30	1
236	260	30	1
240	260	30	1
245	260	30	1
196	261	30	1
209	261	30	1
211	261	30	1
217	261	30	2
218	261	30	1
224	261	30	1
225	261	30	1
229	261	30	2
230	261	30	1
239	261	30	1
249	261	30	2
178	262	30	1
188	262	30	1
209	262	30	1
221	262	30	1
222	262	30	1
223	262	30	1
227	262	30	1
230	262	30	1
231	262	30	1
240	262	30	1
246	262	30	1
249	262	30	1
182	263	30	1
186	263	30	1
189	263	30	2
210	263	30	2
211	263	30	2
219	263	30	1
224	263	30	1
226	263	30	2
227	263	30	1
230	263	30	2
233	263	30	1
246	263	30	1
194	264	30	2
225	264	30	1
229	264	30	1
232	264	30	1
238	264	30	1
239	264	30	1
241	264	30	2
193	265	30	1
200	265	30	2
205	265	30	3
208	265	30	2
211	265	30	1
213	265	30	2
217	265	30	1
224	265	30	2
229	265	30	1
232	265	30	1
239	265	30	1
242	265	30	1
247	265	30	1
188	266	30	1
189	266	30	1
193	266	30	1
219	266	30	2
226	266	30	1
230	266	30	2
232	266	30	1
182	267	30	1
192	267	30	1
196	267	30	1
199	267	30	1
228	267	30	1
229	267	30	1
232	267	30	1
237	267	30	1
239	267	30	1
240	267	30	1
241	267	30	1
246	267	30	1
247	267	30	1
172	268	30	1
190	268	30	2
191	268	30	1
205	268	30	3
206	268	30	2
213	268	30	1
223	268	30	1
228	268	30	2
231	268	30	1
238	268	30	1
243	268	30	1
245	268	30	2
246	268	30	1
249	268	30	2
177	269	30	1
178	269	30	1
180	269	30	2
182	269	30	2
193	269	30	1
197	269	30	1
198	269	30	2
199	269	30	1
204	269	30	1
211	269	30	1
213	269	30	1
214	269	30	1
215	269	30	1
219	269	30	1
222	269	30	1
233	269	30	1
235	269	30	1
181	270	30	2
184	270	30	1
196	270	30	1
197	270	30	1
215	270	30	1
216	270	30	1
234	270	30	1
235	270	30	1
238	270	30	1
245	270	30	1
250	270	30	1
176	271	30	1
181	271	30	1
185	271	30	1
188	271	30	1
198	271	30	1
200	271	30	1
201	271	30	1
208	271	30	2
211	271	30	1
