x	y	z	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
208	267	30	1
214	267	30	1
229	267	30	1
239	267	30	1
247	267	30	1
248	267	30	2
182	268	30	1
189	268	30	1
190	268	30	1
207	268	30	1
214	268	30	1
217	268	30	1
228	268	30	1
244	268	30	1
245	268	30	1
246	268	30	1
250	268	30	1
177	269	30	1
182	269	30	2
196	269	30	1
213	269	30	1
233	269	30	1
235	269	30	1
236	269	30	1
239	269	30	1
243	269	30	1
244	269	30	1
247	269	30	1
248	269	30	1
250	269	30	1
252	269	30	1
184	270	30	1
197	270	30	1
198	270	30	2
205	270	30	2
207	270	30	2
223	270	30	2
227	270	30	2
230	270	30	1
231	270	30	1
234	270	30	1
244	270	30	1
175	271	30	1
181	271	30	2
185	271	30	1
200	271	30	1
204	271	30	1
216	271	30	1
229	271	30	3
238	271	30	1
243	271	30	1
249	271	30	1
185	272	30	1
207	272	30	2
233	272	30	1
235	272	30	2
236	272	30	1
242	272	30	1
245	272	30	2
206	273	30	1
234	273	30	1
239	273	30	1
240	273	30	1
182	274	30	1
183	274	30	2
208	274	30	1
209	274	30	2
251	274	30	2
179	275	30	1
184	275	30	1
212	275	30	1
213	275	30	1
215	275	30	2
233	275	30	1
236	275	30	2
237	275	30	1
242	275	30	1
179	276	30	1
186	276	30	1
233	276	30	1
236	276	30	1
238	276	30	1
241	276	30	1
246	276	30	1
248	276	30	1
206	277	30	1
208	277	30	2
232	277	30	1
205	278	30	1
238	278	30	1
239	278	30	1
219	279	30	1
234	279	30	1
236	279	30	1
238	279	30	1
240	279	30	1
243	279	30	1
251	279	30	1
175	280	30	1
183	280	30	1
206	280	30	1
219	280	30	1
233	280	30	1
241	280	30	1
245	280	30	2
248	280	30	1
249	280	30	1
251	280	30	1
181	281	30	1
235	281	30	1
240	281	30	1
241	281	30	1
242	281	30	1
249	281	30	1
254	281	30	1
179	282	30	1
181	282	30	2
182	282	30	1
210	282	30	1
215	282	30	1
222	282	30	1
240	282	30	1
248	282	30	1
256	282	30	1
205	283	30	1
219	283	30	1
220	283	30	1
222	283	30	1
246	283	30	1
248	283	30	1
254	283	30	1
180	284	30	1
181	284	30	2
219	284	30	1
224	284	30	1
225	284	30	1
230	284	30	1
231	284	30	2
243	284	30	1
244	284	30	1
245	284	30	1
249	284	30	1
254	284	30	2
220	285	30	1
227	285	30	1
248	285	30	1
254	285	30	1
219	286	30	1
227	286	30	1
228	286	30	1
238	286	30	2
240	286	30	1
248	286	30	1
249	286	30	1
250	286	30	1
257	286	30	1
219	287	30	1
220	287	30	1
224	287	30	1
225	287	30	1
233	287	30	1
234	287	30	1
238.5	287.5	30.5	1
246	287	30	2
252	287	30	2
221	288	30	1
234	288	30	1
237	288	30	2
239	288	30	1
244	288	30	1
247	288	30	1
248	288	30	3
250	288	30	1
199	289	30	1
221	289	30	2
223	289	30	1
224	289	30	1
230	289	30	1
231	289	30	1
233	289	30	2
239	289	30	1
246	289	30	1
220	290	30	2
250	290	30	2
197	291	30	1
198	291	30	1
223	291	30	1
227	291	30	1
229	291	30	2
232	291	30	1
246	291	30	1
248	291	30	1
249	291	30	1
251	291	30	1
198	292	30	1
213	292	30	1
227	292	30	2
231	292	30	1
238	292	30	1
257	292	30	1
219	293	30	2
221	293	30	2
224	293	30	1
229	293	30	2
234	293	30	2
240	293	30	1
249	293	30	1
250	293	30	1
210	294	30	1
225	294	30	1
230	294	30	1
235	294	30	1
243	294	30	1
244	294	30	1
253	294	30	1
254	294	30	1
257	294	30	1
218	295	30	1
222	295	30	1
224	295	30	1
229	295	30	1
243	295	30	2
250	295	30	1
257	295	30	1
222	296	30	1
243	296	30	2
221	297	30	2
248	297	30	2
224	298	30	1
226	298	30	1
231	298	30	1
233	298	30	1
247	298	30	1
218	299	30	1
221	299	30	1
231	299	30	1
242	299	30	1
252	299	30	2
222	300	30	2
227	300	30	1
236	300	30	1
244	300	30	2
246	300	30	1
248	300	30	1
249	300	30	1
226	301	30	1
227	301	30	1
236	301	30	1
242	301	30	1
244	301	30	1
246	301	30	1
229	302	30	1
231	302	30	1
217	303	30	1
243	303	30	2
244	303	30	2
234	304	30	1
235	304	30	1
240	304	30	1
236	305	30	1
227	250	31	2
215	251	31	2
235	251	31	1
229	252	31	1
235	252	31	1
193	253	31	2
228	253	31	2
237	253	31	1
238	253	31	1
232	254	31	1
235	254	31	1
191	255	31	1
238	255	31	1
233	256	31	1
214	257	31	1
218	257	31	1
236	257	31	2
240	257	31	1
215	258	31	1
227	258	31	1
239	258	31	1
232	259	31	1
239	259	31	1
186	260	31	1
187	260	31	1
188	260	31	1
191	260	31	2
209	260	31	1
212	260	31	1
237	260	31	1
239	260	31	1
242	260	31	1
245	260	31	1
184	261	31	1
211	261	31	1
217	261	31	2
228	261	31	1
230	261	31	1
231	261	31	1
235	261	31	1
219	262	31	1
220	262	31	1
223	262	31	2
242	262	31	1
249	262	31	1
186	263	31	1
188	263	31	1
189	263	31	1
193	263	31	1
194	263	31	1
197	263	31	2
198	263	31	1
217	263	31	1
219	263	31	1
232	263	31	1
235	263	31	1
236	263	31	1
238	263	31	1
240	263	31	1
244	263	31	2
249	263	31	1
178	264	31	1
189	264	31	1
194	264	31	1
197	264	31	1
204	264	31	1
209	264	31	1
217	264	31	1
221	264	31	1
222	264	31	1
223	264	31	1
226	264	31	1
238	264	31	1
239	264	31	1
246	264	31	1
194	265	31	2
215	265	31	1
231	265	31	1
187	266	31	1
212	266	31	1
213	266	31	2
215	266	31	1
217	266	31	1
219	266	31	1
236	266	31	1
241	266	31	2
243	266	31	1
244	266	31	1
247	266	31	2
248	266	31	2
176	267	31	1
193	267	31	1
194	267	31	1
197	267	31	1
223	267	31	1
224	267	31	1
227	267	31	2
229	267	31	1
230	267	31	2
233	267	31	1
235	267	31	1
237	267	31	1
242	267	31	1
245	267	31	1
220	268	31	1
231	268	31	1
238	268	31	1
243	268	31	1
247	268	31	1
173	269	31	1
183	269	31	1
198	269	31	1
201	269	31	1
204	269	31	1
238	269	31	1
239	269	31	1
240	269	31	2
243	269	31	1
252	269	31	1
180	270	31	1
234	270	31	2
239	270	31	1
247	270	31	1
249	270	31	1
178	271	31	1
182	271	31	2
184	271	31	2
199	271	31	2
200	271	31	1
210	271	31	2
212	271	31	1
214	271	31	1
215	271	31	2
217	271	31	1
226	271	31	1
235	271	31	1
237	271	31	1
240	271	31	1
249	271	31	1
204	272	31	1
205	272	31	1
215	272	31	1
226	272	31	1
230	272	31	1
232	272	31	1
235	272	31	1
237	272	31	1
239	272	31	1
249	272	31	1
181	273	31	1
212	273	31	2
214	273	31	1
215	273	31	1
229	273	31	1
232	273	31	1
235	273	31	1
236	273	31	1
238	273	31	2
240	273	31	1
248	273	31	1
249	273	31	1
175	274	31	2
182	274	31	1
185	274	31	1
204	274	31	2
205	274	31	1
209	274	31	1
240	274	31	1
182	275	31	1
184	275	31	1
229	275	31	1
237	275	31	1
239	275	31	1
243	275	31	2
233	276	31	1
234	276	31	1
237	276	31	1
241	276	31	1
246	276	31	1
252	276	31	1
253	276	31	1
204	277	31	1
205	277	31	1
209	277	31	2
235	277	31	1
239	277	31	1
243	277	31	1
174	278	31	1
204	278	31	1
205	278	31	1
224	278	31	2
237	278	31	1
238	278	31	2
244	278	31	1
246	278	31	1
175	279	31	1
206	279	31	3
207	279	31	1
244	279	31	1
253	279	31	1
176	280	31	1
181	280	31	1
205	280	31	1
208	280	31	1
226	280	31	1
237	280	31	1
245	280	31	1
247	280	31	3
248	280	31	1
250	280	31	2
251	280	31	1
176	281	31	1
181	281	31	1
184	281	31	1
206	281	31	1
219	281	31	1
223	281	31	1
239	281	31	1
240	281	31	1
248	281	31	1
254	281	31	1
173	282	31	1
178	282	31	1
206	282	31	1
219	282	31	1
220	282	31	1
241	282	31	1
248	282	31	1
253	282	31	1
254	282	31	1
176	283	31	1
221	283	31	1
228	283	31	1
233	283	31	2
235	283	31	2
251	283	31	1
253	283	31	1
206	284	31	1
220	284	31	1
238	284	31	2
239	284	31	1
254	284	31	1
220	285	31	2
224	285	31	1
225	285	31	1
229	285	31	1
235	285	31	1
238	285.5	31.5	1
240	285	31	2
253	285	31	1
256	285	31	1
180	286	31	2
204	286	31	1
219	286	31	2
220	286	31	1
227	286	31	2
229	286	31	2
238	286	31	1
246	286	31	2
252	286	31	3
187	287	31	1
190	287	31	1
219	287	31	1
221	287	31	1
222	287	31	1
227	287	31	2
237	287	31	2
239	287	31	2
241	287	31	1
246	287	31	1
252	287	31	1
187	288	31	1
220	288	31	1
221	288	31	1
230	288	31	1
233	288	31	1
240.5	288.5	31.5	1
247	288	31	1
225	289	31	1
244	289	31	1
237	290	31	1
240	290	31	1
223	291	31	1
226	291	31	1
230	291	31	1
235	291	31	1
237	291	31	1
245	291	31	1
247	291	31	1
199	292	31	1
201	292	31	1
221	292	31	1
227	292	31	1
232	292	31	1
238	292	31	1
243	292	31	2
252	292	31	1
231	293	31	1
233	293	31	1
234	293	31	1
237	293	31	2
238	293	31	1
241	294	32.8	1
242	293	31	1
246	293	31	1
248	293	31	1
253	293	31	1
226	294	31	1
230	294	31	1
245	294	31	2
246	294	31	2
251	294	31	1
252	294	31	1
220	295	31	1
221	295	31	1
225	295	31	2
226	295	31	1
228	295	31	1
240	295	31	1
243	295	31	2
244	295	31	1
249	295	31	1
252	295	31	2
200	296	31	2
215	296	31	1
224	296	31	1
