x	y	z	NoRC negatively regulates rRNA expression
241	280	28	1
251	280	28	2
208	281	28	2
210	281	28	2
248	281	28	1
235	282	28	1
246	282	28	1
237	283	28	1
254	283	28	1
248	284	28	1
254	284	28	2
242	285	28	1
244	285	28	1
248	285	28	1
237	286	28	1
247	286	28	1
248	286	28	1
244	287	28	1
246	287	28	2
248	287	28	1
245	288	28	2
227	289	28	1
243	289	28	2
237	290	28	1
245	290	28	1
237	291	28	1
245	291	28	1
248	291	28	1
250	292	28	1
243	293	28	1
248	293	28	1
240	294	28	1
251	294	28	2
241	295	28	1
242	295	28	1
239	297	28	1
240	300	28	1
233	256	29	1
235	256	29	1
230	257	29	1
190	258	29	1
228	258	29	2
233	258	29	1
235	258	29	1
230	259	29	3
234	260	29	1
183	261	29	1
199	261	29	1
227	261	29	1
230	261	29	1
220	262	29	1
248	262	29	1
234	263	29	1
248	263	29	1
178	264	29	1
216	264	29	1
224	264	29	1
226	264	29	1
229	264	29	1
231	264	29	1
245	264	29	1
215	265	29	1
232	265	29	1
233	265	29	1
178	266	29	1
229	266	29	1
230	266	29	1
232	266	29	1
234	266	29	2
248	266	29	1
250	266	29	2
192	267	29	1
197	267	29	2
231	267	29	1
194	268	29	1
201	268	29	2
234	268	29	1
244	268	29	1
250	268	29	1
180	269	29	1
193	269	29	1
196	269	29	2
234	269	29	1
240	269	29	1
175	270	29	1
198	270	29	1
200	270	29	2
215	270	29	1
232	270	29	1
237	270	29	1
238	270	29	1
239	270	29	1
173	271	29	2
182	271	29	1
203	271	29	1
235	271	29	1
237	271	29	1
240	271	29	2
241	271	29	1
242	271	29	1
213	272	29	2
214	272	29	1
232	272	29	1
233	272	29	1
236	272	29	1
241	272	29	1
245	272	29	1
251	272	29	1
182	273	29	1
207	273	29	1
236	273	29	3
249	273	29	1
180	274	29	2
213	274	29	1
236	274	29	1
238	274	29	1
239	274	29	1
240	274	29	1
247	274	29	2
184	275	29	1
206	275	29	3
215	275	29	1
232	275	29	2
237	275	29	2
238	275	29	1
239	275	29	1
240	275	29	1
242	275	29	1
208	276	29	3
228	276	29	1
232	276	29	1
234	276	29	1
240	276	29	2
241	276	29	1
250	276	29	1
252	276	29	1
205	277	29	1
232	277	29	1
234	277	29	1
236	277	29	1
237	277	29	1
238	277	29	1
240	277	29	1
251	277	29	2
235	278	29	1
239	278	29	1
244	278	29	1
247	278	29	1
250	278	29	1
206	279	29	2
236	279	29	1
234	280	29	1
235	280	29	1
236	280	29	1
238	280	29	1
245	280	29	1
252	280	29	1
224	281	29	1
233	281	29	1
234	281	29	1
237	281	29	1
238	281	29	1
241	281	29	1
243	281	29	1
246	281	29	1
212	282	29	1
213	282	29	1
233	282	29	2
241	282	29	1
246	282	29	2
248	282	29	1
250	282	29	1
254	282	29	1
215	283	29	1
236	283	29	1
237	283	29	1
239	283	29	1
246	283	29	1
233	284	29	3
234	284	29	1
235	284	29	1
240	284	29	1
243	284	29	1
244	284	29	1
255	284	29	1
256	284	29	1
240	285	29	1
243	285	29	1
246	285	29	1
248	285	29	1
235	286	29	1
241	286	29	1
242	286	29	1
247	286	29	1
252	286	29	1
225	287	29	1
226	287	29	2
228	287	29	1
231	287	29	1
232	287	29	2
233	287	29	2
234	287	29	1
245	287	29	1
249	287	29	2
224	288	29	1
233	288	29	1
236	288	29	1
246	288	29	1
227	289	29	1
228	289	29	1
243	289	29	1
245	289	29	2
250	289	29	2
222	290	29	1
228	290	29	1
238	290	29	2
247	290	29	1
222	291	29	1
225	291	29	1
241	291	29	1
245	291	29	1
246	291	29	1
249	291	29	1
250	291	29	1
225	292	29	1
243	292	29	1
249	292	29	1
250	292	29	2
227	293	29	1
246	293	29	2
248	293	29	1
221	294	29	1
236	294	29	3
241	294	29	1
242	294	29	1
244	294	29	2
245	294	29	1
246	294	29	1
249	294	29	1
241	295	29	2
219	296	29	1
223	296	29	1
246	296	29	1
252	296	29	1
255	296	29	1
239	297	29	2
243	297	29	1
246	297	29	1
221	298	29	1
226	298	29	1
237	298	29	2
242	298	29	1
245	298	29	1
221	299	29	1
222	299	29	1
237	299	29	1
239	299	29	1
252	299	29	3
236	300	29	1
237	300	29	1
240	300	29	1
247	300	29	1
224	301	29	1
227	301	29	1
230	301	29	1
238	301	29	2
247	301	29	1
224	302	29	1
250	302	29	1
233	252	30	2
228	253	30	1
231	253	30	1
237	253	30	1
232	254	30	2
233	254	30	1
235	254	30	2
238	254	30	1
227	255	30	1
232	255	30	1
