x	y	z	STING mediated induction of host immune responses
227	255	30	1
236	256	30	1
192	257	30	2
181	258	30	1
203	258	30	2
231	258	30	1
233	258	30	1
219	259	30	1
222	259	30	1
224	259	30	1
230	259	30	1
231	259	30	1
241	259	30	1
197	260	30	1
206	260	30	1
217	260	30	1
223	260	30	1
226	260	30	1
231	260	30	1
232	260	30	1
235	260	30	1
240	260	30	1
245	260	30	1
196	261	30	1
198	261	30	1
199	261	30	2
211	261	30	2
219	261	30	1
224	261	30	2
227	261	30	1
229	261	30	1
232	261	30	1
238	261	30	1
241	261	30	1
249	261	30	2
220	262	30	1
223	262	30	1
240	262	30	1
242	262	30	1
245	262	30	1
248	262	30	2
179	263	30	2
188	263	30	1
233	263	30	1
242	263	30	2
249	263	30	1
186	264	30	1
194	264	30	1
222	264	30	1
225	264	30	1
229	264	30	1
232	264	30	1
239	264	30	2
193	265	30	1
205	265	30	1
211	265	30	1
214	265	30	1
230	265	30	1
231	265	30	1
234	265	30	1
242	265	30	1
248	265	30	1
184	266	30	1
189	266	30	1
195	266	30	1
219	266	30	1
228	266	30	3
230	266	30	1
247	266	30	1
182	267	30	1
191	267	30	1
193	267	30	1
228	267	30	1
236	267	30	1
237	267	30	1
238	267	30	1
244	267	30	1
249	267	30	1
182	268	30	1
190	268	30	2
213	268	30	1
226	268	30	1
230	268	30	2
240	268	30	1
241	268	30	1
182	269	30	1
193	269	30	2
213	269	30	2
222	269	30	1
232	269	30	1
236	269	30	1
237	269	30	1
245	269	30	1
247	269	30	1
178	270	30	1
179	270	30	1
181	270	30	2
195	270	30	1
201	270	30	1
223	270	30	1
230	270	30	2
232	270	30	1
234	270	30	1
244	270	30	1
249	270	30	1
250	270	30	1
193	271	30	2
200	271	30	2
208	271	30	1
211	271	30	3
212	271	30	1
233	271	30	1
238	271	30	2
180	272	30	2
181	272	30	1
185	272	30	1
223	272	30	1
233	272	30	1
235	272	30	1
238	272	30	1
214	273	30	1
227	273	30	1
232	273	30	1
233	273	30	1
234	273	30	1
209	274	30	1
229	274	30	1
233	274	30	1
239	274	30	2
244	274	30	1
183	275	30	1
213	275	30	1
237	275	30	1
242	275	30	1
232	276	30	2
238	276	30	1
243	276	30	1
249	276	30	1
174	277	30	1
232	277	30	1
239	277	30	1
247	277	30	1
190	278	30	1
201	278	30	1
203	278	30	1
235	278	30	1
236	278	30	1
243	278	30	1
253	278	30	1
206	279	30	1
207	279	30	2
234	279	30	1
236	279	30	1
249	279	30	1
252	279	30	1
254	279	30	2
176	280	30	1
178	280	30	2
233	280	30	1
235	280	30	1
241	280	30	1
245	280	30	1
248	280	30	1
249	280	30	1
223	281	30	1
234	281	30	3
246	281	30	1
247	281	30	1
179	282	30	2
187	282	30	1
210	282	30	1
222	282	30	2
229	282	30	2
232	282	30	1
233	282	30	1
235	282	30	1
245	282	30	1
248	282	30	2
256	282	30	1
179	283	30	1
221	283	30	1
232	283	30	1
236	283	30	1
239	283	30	1
240	283	30	1
249	283	30	1
251	283	30	1
254	283	30	2
181	284	30	1
219	284	30	1
225	284	30	1
226	284	30	1
233	284	30	1
244	284	30	1
245	284	30	1
252	284	30	2
256	284	30	1
222.5	285.5	30.5	1
223	285	30	1
232	285	30	1
234	285	30	2
246	285	30	1
248	285	30	1
251	285	30	1
252	285	30	2
254	285	30	1
206	286	30	1
223	286	30	1
234	286	30	1
245	286	30	1
257	286	30	1
224	287	30	1
225	287	30	1
226	287	30	1
238.5	287.5	30.5	1
254	287	30	1
199	288	30	1
223	288	30	1
229	288	30	1
233	288	30	1
246	288	30	1
249	288	30	1
200	289	30	1
223	289	30	1
228	289	30	1
250	289	30	1
225	290	30	1
226	290	30	1
241	290	30	1
226	291	30	1
234	291	30	1
239	291	30	2
241	291	30	1
244	291	30	1
246	291	30	1
194	292	30	1
199	292	30	1
224	292	30	1
246	292	30	1
249	292	30	1
257	292	30	1
219	293	30	2
220	293	30	1
223	293	30	1
231	293	30	1
236	293	30	1
238	293	30	1
239	293	30	1
240	293	30	2
241	293	30	1
243	293	30	1
189	294	30	1
225	294	30	1
226	294	30	1
229	294	30	2
230	294	30	1
231	294	30	1
233	294	30	1
238	294	30	1
244	294	30	1
245	294	30	1
251	294	30	1
252	294	30	1
254	294	30	1
257	294	30	1
258	294	30	1
222	295	30	1
251	295	30	2
252	295	30	1
256	295	30	1
257	295	30	2
222	296	30	1
233	296	30	1
244	296	30	1
223	297	30	1
226	297	30	1
229	297	30	1
240	297	30	1
215	298	30	1
221	298	30	1
222	298	30	1
225	298	30	1
226	298	30	1
228	298	30	1
235	298	30	1
239	298	30	1
240	298	30	1
242	298	30	1
246	298	30	1
247	298	30	1
251	298	30	1
218	299	30	1
225	299	30	1
247	299	30	1
250	299	30	1
252	299	30	1
225	300	30	1
230	300	30	1
236	300	30	1
246	300	30	1
249	300	30	1
238	301	30	1
240	301	30	1
244	301	30	1
245	301	30	1
246	301	30	1
226	302	30	1
239	302	30	1
242	302	30	1
223	303	30	3
237	303	30	1
220	304	30	1
233	305	30	1
236	305	30	1
238	305	30	1
242	305	30	1
229	252	31	2
235	252	31	1
239	252	31	1
233	253	31	1
231	254	31	2
232	254	31	1
226	255	31	2
236	256	31	2
239	256	31	1
216	257	31	1
205	258	31	2
227	258	31	1
230	258	31	1
234	258	31	1
237	258	31	1
209	259	31	1
216	259	31	2
218	259	31	2
227	259	31	1
231	259	31	1
232	259	31	2
188	260	31	1
216	260	31	1
218	260	31	1
231	260	31	1
237	260	31	1
239	260	31	2
244	260	31	2
181	261	31	1
184	261	31	1
216	261	31	1
226	261	31	1
229	261	31	1
230	261	31	1
239	261	31	1
194	262	31	1
218	262	31	1
221	262	31	1
230	262	31	1
233	262	31	1
240	262	31	1
248	262	31	1
185	263	31	1
186	263	31	1
198	263	31	1
211	263	31	1
235	263	31	1
210	264	31	1
216	264	31	1
228	264	31	1
237	264	31	2
244	264	31	1
245	264	31	1
248	264	31	1
214	265	31	2
226	265	31	1
229	265	31	1
235	265	31	1
236	265	31	1
239	265	31	3
243	265	31	1
245	265	31	1
248	265	31	1
187	266	31	1
197	266	31	2
198	266	31	1
211	266	31	1
213	266	31	1
231	266	31	2
243	266	31	2
246	266	31	1
248	266	31	1
251	266	31	1
182	267	31	1
194	267	31	2
196	267	31	1
199	267	31	1
232	267	31	1
235	267	31	1
245	267	31	1
247	267	31	1
248	267	31	1
184	268	31	1
198	268	31	1
241	268	31	1
247	268	31	2
214	269	31	1
230	269	31	1
232	269	31	1
238	269	31	2
239	269	31	1
242	269	31	1
243	269	31	1
248	269	31	1
252	269	31	1
181	270	31	1
185	270	31	1
194	270	31	1
198	270	31	1
199	270	31	1
200	270	31	1
239	270	31	1
249	270	31	1
250	270	31	2
203	271	31	1
209	271	31	1
213	271	31	1
216	271	31	1
239	271	31	1
241	271	31	1
244	271	31	1
245	271	31	1
246	271	31	1
247	271	31	1
176	272	31	1
215	272	31	1
226	272	31	1
230	272	31	1
234	272	31	2
236	272	31	1
238	272	31	1
183	273	31	1
207	273	31	1
209	273	31	1
210	273	31	1
213	273	31	1
229	273	31	1
238	273	31	1
239	273	31	1
180	274	31	1
205	274	31	1
209	274	31	1
213	274	31	1
214	274	31	1
229	274	31	1
237	274	31	1
248	274	31	1
206	275	31	1
229	275	31	2
237	275	31	1
239	275	31	1
244	275	31	1
250	275	31	1
198	276	31	1
234	276	31	1
237	276	31	1
240	276	31	1
243	276	31	1
245	277	31	1
174	278	31	1
178	278	31	1
205	278	31	1
224	278	31	1
238	278	31	1
245	278	31	1
246	278	31	1
219	279	31	1
235	279	31	1
205	280	31	1
217	280	31	1
219	280	31	1
221	280	31	1
226	280	31	1
237	280	31	1
238	280	31	1
251	280	31	1
204	281	31	2
220	281	31	1
236	281	31	1
237	281	31	1
244	281	31	1
248	281	31	1
251	281	31	1
175	282	31	1
178	282	31	1
180	282	31	1
181	282	31	1
220	282	31	1
225	282	31	1
249	282	31	1
254	282	31	1
208	283	31	1
218	283	31	1
235	283	31	1
251	283	31	1
175	284	31	1
176	284	31	2
212	284	31	1
231	284	31	1
236	284	31	1
244	284	31	1
249	284	31	1
254	284	31	1
257	284	31	1
173	285	31	1
178	285	31	1
179	285	31	1
226	285	31	1
235	285	31	1
248	285	31	1
251	285	31	1
255	285	31	1
218	286	31	1
219	286	31	1
220	286	31	1
240	286	31	1
244	286	31	1
249	286	31	1
252	286	31	1
187	287	31	1
224	287	31	1
225	287	31	1
226	287	31	1
229	287	31	1
255	287	31	1
187	288	31	1
221	288	31	1
223	288	31	1
226	288	31	2
234	288	31	1
241	288	31	1
242	288	31	1
245	288	31	1
249	288	31	1
200	289	31	1
234	289	31	1
235	289	31	1
237	289	31	1
242	289	31	1
244	289	31	1
231	290	31	1
235	290	31	1
240	290	31	1
241	290	31	1
242	290	31	1
250	290	31	1
222	291	31	1
242	291	31	1
244	291	31	1
245	291	31	1
247	291	31	1
255	291	31	1
226	292	31	1
231	292	31	1
246	292	31	1
250	292	31	1
254	292	31	1
198	293	31	2
230	293	31	1
232	293	31	1
237	293	31	1
241	294	32.8	2
242	293	31	2
243	293	31	1
247	293	31	1
198	294	31	2
221	294	31	1
233	294	31	1
243	294	31	1
246	294	31	1
251	294	31	1
220	295	31	1
223	295	31	2
234	295	31	2
235	295	31	2
240	295	31	1
244	295	31	1
249	295	31	1
188	296	31	1
200	296	31	1
242	296	31	2
245	296	31	1
252	296	31	1
195	297	31	1
221	297	31	1
226	297	31	1
234	297	31	1
235	297	31	1
242	297	31	1
205	298	31	1
224	298	31	1
229	298	31	1
238	298	31	1
240	298	31	1
242	298	31	1
247	298	31	1
250	298	31	1
251	298	31	1
221	299	31	1
229	299	31	2
233	299	31	2
243	299	31	1
246	299	31	1
218	300	31	1
225	300	31	1
228	300	31	1
229	300	31	1
231	300	31	1
232	300	31	1
241	300	31	1
248	300	31	2
250	300	31	1
221	301	31	1
232	301	31	1
234	301	31	1
224	302	31	3
231	302	31	1
239	302	31	1
246	302	31	1
247	302	31	1
224	303	31	1
239	303	31	1
244	303	31	1
232	304	31	1
224	305	31	1
236	305	31	1
238	305	31	1
223	306	31	2
224	307	31	1
234	307	31	1
229	251	32	1
214	252	32	1
226	252	32	1
235	252	32	1
231	253	32	1
232	253	32	2
215	254	32	1
232	254	32	1
236	254	32	1
218	255	32	2
223	255	32	1
232	255	32	1
234	255	32	1
227	256	32	1
229	256	32	2
234	256	32	1
219	257	32	1
229	257	32	1
230	257	32	1
207	258	32	1
213	258	32	2
215	258	32	1
216	258	32	1
228	258	32	1
237	258	32	2
246	258	32	1
201	259	32	1
207	259	32	1
211	259	32	1
216	259	32	1
243	259	32	1
244	259	32	1
192	260	32	1
210	260	32	1
211	260	32	1
218	260	32	1
220	260	32	1
221	260	32	1
222	260	32	1
235	260	32	1
236	260	32	3
237	260	32	1
239	260	32	2
245	260	32	1
210	261	32	1
225	261	32	2
238	261	32	1
239	261	32	2
246	261	32	1
210	262	32	3
219	262	32	2
221	262.666666666667	33	1
235	262	32	1
245	262	32	1
246	262	32	1
208	263	32	1
212	263	32	1
220	263	32	2
221	263	32	1
222	263	32	1
230	263	32	1
236	263	32	1
241	263	32	1
245	263	32	1
246	263	32	2
247	263	32	2
186	264	32	1
202	264	32	2
210	264	32	1
215	264	32	1
223	264	32	1
232	264	32	1
239	264	32	1
244	264	32	1
245	264	32	1
185	265	32	1
194	265	32	1
213	265	32	1
216	265	32	1
221	265	32	1
229	265	32	1
231	265	32	1
233	265	32	1
238	265	32	1
243	265	32	1
212	266	32	1
214	266	32	1
218	266	32	1
221	266	32	1
228	266	32	1
229	266	32	1
236	266	32	1
240	266	32	1
245	266	32	2
251	266	32	2
182	267	32	1
193	267	32	1
205	267	32	1
208	267	32	1
230	267	32	1
231	267	32	2
233	267	32	1
237	267	32	1
243	267	32	1
245.5	267.5	32.5	1
247	267	32	1
252	267	32	1
186	268	32	1
220	268	32	1
231	268	32	1
233	268	32	1
253	268	32	1
175	269	32	1
180	269	32	1
181	269	32	1
196	269	32	1
215	269	32	1
228	269	32	1
243	269	32	1
250	269	32	1
180	270	32	1
181	270	32	1
197	270	32	1
206	270	32	1
210	270	32	1
216	270	32	1
222	270	32	1
234	270	32	1
243	270	32	1
173	271	32	1
186	271	32	1
188	271	32	1
206	271	32	1
207	271	32	1
209	271	32	1
210	271	32	1
212	271	32	1
213	271	32	2
228	271	32	1
234	271	32	1
239	271	32	1
243	271	32	2
244	271	32	1
249	271	32	1
173	272	32	1
175	272	32	1
182	272	32	1
183	272	32	1
205	272	32	1
208	272	32	1
210	272	32	2
211	272	32	1
212	272	32	1
237	272	32	1
239	272	32	1
241	272	32	1
243	272	32	2
204	273	32	1
210	273	32	1
214	273	32	2
229	273	32	1
235	273	32	1
239	273	32	2
181	274	32	1
184	274	32	1
207	274	32	1
209	274	32	1
213	274	32	1
215	274	32	1
237	274	32	1
240	274	32	2
186	275	32	2
236	275	32	1
247	275	32	1
175	276	32	1
204	276	32	1
210	276	32	1
215	276	32	2
242	276	32	1
246	276	32	1
249	276	32	1
176	277	32	1
210	277	32	1
239	277	32	1
177	278	32	1
203	278	32	1
246	278	32	1
249	278	32	1
250	278	32	1
179	279	32	1
219	279	32	1
220	279	32	1
236	279	32	1
237	279	32	1
239	279	32	1
242	279	32	1
245	279	32	2
180	280	32	1
189	280	32	1
219	280	32	1
229	280	32	1
238	280	32	1
245	280	32	1
179	281	32	1
186	281	32	1
211	281	32	1
217	281	32	1
220	281	32	1
221	281	32	1
223	281	32	1
232	281	32	3
244	281	32	1
245	281	32	1
182	282	32	1
218	282	32	2
222	282	32	1
227	282	32	1
231	282	32	1
249	282	32	1
253	282	32	2
183	283	32	1
211	283	32	2
253	283	32	1
176	284	32	1
177	284	32	2
181	284	32	1
206	284	32	2
209	284	32	1
237	284	32	1
241	284	32	2
242	284	32	1
176	285	32	1
178	285	32	1
182	285	32	1
185	285	32	1
205	285	32	1
208	285	32	1
221	285	32	1
237	285	32	1
238	285	32	1
177	286	32	1
204	286	32	2
206	286	32	1
207	286	32	1
209	286	32	1
222	286	32	2
228	286	32	1
236	286	32	1
243	286	32	1
246	286	32	1
187	287	32	1
207	287	32	1
223	287	32	1
225	287	32	1
230	287	32	1
231	287	32	1
238	287	32	1
246	287	32	1
250	287	32	2
255	287	32	1
256	287	32	1
221	288	32	3
226	288	32	1
232	288	32	1
244	288	32	1
253	288	32	1
185	289	32	2
187	289	32	1
222	289	32	1
227	289	32	1
231	289	32	1
235	289	32	1
253	289	32	1
256	289	32	1
222	290	32	2
224	290	32	1
225	290	32	1
226	290	32	1
230	290	32	1
234	290	32	1
236	290	32	1
237	290	32	1
247	290	32	1
250	290	32	1
197	291	32	1
229	291	32	1
233.333333333333	291.333333333333	33	1
235	291	32	1
239	291	32	1
246	291	32	1
198	292	32	1
204	292	32	1
221	292	32	1
227	292	32	1
234	292	32	1
248	292	32	1
254	292	32	1
222	293	32	1
224	293	32	1
233	293	32	1
244	293	32	1
251	293	32	1
197	294	32	1
199	294	32	1
221	294	32	1
245	294	32	1
247	294	32	1
251	294	32	1
200	295	32	1
223	295	32	1
226	295	32	1
228	295	32	1
232	295	32	1
245	295	32	1
253	295	32	2
198	296	32	1
202	296	32	1
218	296	32	2
223	296	32	1
230	296	32	1
242	296	32	1
243	296	32	1
229	297	32	1
241	297	32	1
243	297	32	1
246	297	32	1
249	297	32	1
250	297	32	1
202	298	32	1
232	298	32	3
240	298	32	1
244	298	32	2
246	298	32	1
253	298	32	1
227	299	32	1
235	299	32	1
244	299	32	1
245	299	32	1
248	299	32	1
185	300	32	1
197	300	32	1
240	300	32	1
198	301	32	1
225	301	32	2
234	301	32	2
235	301	32	1
239	301	32	1
240	301	32	1
241	301	32	1
223	302	32	1
224	302	32	1
230	302	32	2
231	302	32	1
233	302	32	1
234	302	32	1
238	302	32	1
241	302	32	1
243	302	32	1
222	303	32	1
229	303	32	1
234	303	32	2
235	303	32	1
220	304	32	1
230	304	32	2
233	304	32	1
239	304	32	1
241	304	32	1
243	304	32	1
226	305	32	1
234	305	32	1
208	306	32	1
222	306	32	1
233	306	32	1
237	306	32	2
241	306	32	1
221	307	32	1
236	307	32	2
227	308	32	2
229	308	32	1
234	309	32	1
235	309	32	1
229	310	32	1
231	310	32	1
229	312	32	1
228	249	33	1
232	249	33	1
240	252	33	1
229	253	33	1
231	253	33	2
232	253	33	1
237	253	33	1
232	254	33	1
218	255	33	1
219	255	33	1
215	256	33	2
222	256	33	1
225	256	33	1
214	257	33	1
217	257	33	1
219	257	33	1
220	257	33	1
235	257	33	1
215	258	33	1
219	258	33	1
221	258	33	1
223	258	33	1
239	258	33	1
243	258	33	1
224	259	33	1
227	259	33	1
228	259	33	1
242	259	33	1
244	259	33	1
212	260	33	1
217	260	33	1
229	260	33	1
231	260	33	2
236	260	33	1
239	260	33	1
241	260	33	1
246	260	33	2
