x	y	z	Processing of Capped Intronless Pre-mRNA
204	277	31	1
205	277	31	1
209	277	31	1
235	277	31	1
241	277	31	1
247	277	31	1
249	277	31	1
177	278	31	1
180	278	31	2
203	278	31	1
206	278	31	1
208	278	31	3
242	278	31	1
245	278	31	1
237	279	31	2
242	279	31	1
244	279	31	1
247	279	31	1
208	280	31	1
219	280	31	1
221	280	31	1
226	280	31	1
232	280	31	1
247	280	31	1
250	280	31	1
235	281	31	1
240	281	31	1
250	281	31	1
173	282	31	2
179	282	31	1
238	282	31	1
239	282	31	1
240	282	31	1
241	282	31	2
244	282	31	1
245	282	31	2
246	282	31	1
249	282	31	1
256	282	31	1
208	283	31	1
209	283	31	1
218	283	31	1
219	283	31	1
230	283	31	1
232	283	31	1
233	283	31	1
235	283	31	2
236	283	31	1
244	283	31	1
175	284	31	1
176	284	31	1
182	284	31	1
219	284	31	1
223	284	31	2
239	284	31	1
257	284	31	1
179	285	31	1
218	285	31	1
219	285	31	2
234	285	31	1
236	285	31	1
218	286	31	2
221	286	31	1
224	286	31	2
238	286	31	2
227	287	31	1
229	287	31	1
231	287	31	1
238	287	31	1
248	287	31	1
251	287	31	1
220	288	31	1
226	288	31	1
228	288	31	1
233	288	31	1
234	288	31	1
240.5	288.5	31.5	1
249	288	31	1
253	288	31	2
205	289	31	2
228	289	31	1
232	289	31	2
233	289	31	1
237	289	31	1
238	289	31	1
242	289	31	1
243	289	31	1
244	289	31	1
250	289	31	1
200	290	31	1
221	290	31	1
222	290	31	1
226	290	31	1
231	290	31	1
232	290	31	1
235	290	31	2
240	290	31	1
248	290	31	1
199	291	31	1
200	291	31	1
227	291	31	1
228	291	31	2
235	291	31	1
238	291	31	1
249	291	31	1
255	291	31	1
198	292	31	1
199	292	31	1
222	292	31	1
242	292	31	1
250	292	31	1
198	293	31	1
222	293	31	1
228	293	31	1
231	293	31	1
235	293	31	1
237	293	31	1
243	293	31	1
248	293	31	3
251	293	31	1
221	294	31	1
225	294	31	1
227	294	31	1
228	294	31	1
240	294	31	3
241	294	31	1
243	294	31	2
245	294	31	1
221	295	31	1
229	295	31	1
231	295	31	1
255	295	31	1
188	296	31	2
199	296	31	1
224	296	31	1
229	296	31	1
243	296	31	1
195	297	31	1
242	297	31	1
243	297	31	1
196	298	31	1
224	298	31	2
232	298	31	1
235	298	31	1
240	298	31	1
242	298	31	1
237	299	31	1
247	299	31	1
248	299	31	1
225	300	31	1
226	300	31	1
230	300	31	2
231	300	31	2
232	300	31	1
250	300	31	1
216	301	31	1
221	301	31	2
224	301	31	1
225	301	31	1
226	301	31	1
232	301	31	1
233	301	31	1
234	301	31	1
243	301	31	2
249	301	31	1
224	302	31	1
229	302	31	1
236	302	31	1
233	303	31	1
236	303	31	1
245	303	31	2
237	304	31	1
238	304	31	1
236	305	31	2
237	305	31	1
224	307	31	1
223	308	31	1
226	250	32	2
231	250	32	1
228	251	32	1
227	252	32	1
223	253	32	1
231	253	32	1
232	253	32	1
240	253	32	1
215	254	32	2
216	254	32	1
226	254	32	1
227	254	32	1
239	254	32	1
188	255	32	1
217	255	32	1
221	255	32	1
223	255	32	1
226	255	32	1
227	255	32	1
228	255	32	2
234	255	32	1
240	255	32	1
227	256	32	1
210	257	32	1
232	257	32	1
190	258	32	1
207	258	32	2
214	258	32	3
235	258	32	2
241	258	32	1
246	258	32	1
201	259	32	1
216	259	32	1
219	259	32	1
222	259	32	1
234	259	32	2
244	259	32	1
245	259	32	1
247	259	32	2
192	260	32	1
210	260	32	1
211	260	32	1
221	260	32	1
222	260	32	2
244	260	32	1
210	261	32	1
216	261	32	1
218	261	32	1
219	261	32	1
222	261	32	2
228	261	32	1
229	261	32	1
231	261	32	1
244	261	32	1
194	262	32	1
198	262	32	1
207	262	32	1
209	262	32	2
210	262	32	2
228	262	32	1
244	262	32	1
246	262	32	1
247	262	32	1
184	263	32	1
189	263	32	2
211	263	32	1
213	263	32	1
216	263	32	1
218	263	32	1
221	263	32	2
226	263	32	1
231	263	32	1
233	263	32	1
235	263	32	1
186	264	32	1
188	264	32	1
189	264	32	1
191	264	32	1
202	264	32	2
204	264	32	2
217	264	32	1
221	264	32	1
222	264	32	1
227	264	32	1
228	264	32	2
230	264	32	1
238	264	32	1
247	264	32	1
248	264	32	1
250	264	32	1
187	265	32	1
192	265	32	1
195	265	32	2
198	265	32	2
203	265	32	1
204	265	32	1
213	265	32	1
220	265	32	1
221	265	32	1
233	265	32	1
251	265	32	1
195	266	32	1
197	266	32	1
212	266	32	1
213	266	32	1
222	266	32	2
224	266	32	1
239	266	32	1
240	266	32	1
241	266	32	1
243	266	32	2
247	266	32	1
252	266	32	1
182	267	32	1
196	267	32	1
216	267	32	1
231	267	32	1
233	267	32	1
242	267	32	1
248	267	32	2
206	268	32	1
212	268	32	1
220	268	32	1
224	268	32	1
246	268	32	1
252	268	32	1
191	269	32	1
204	269	32	1
214	269	32	1
215	269	32	2
222	269	32	1
239	269	32	1
243	269	32	1
249	269	32	1
250	269	32	1
172	270	32	1
181	270	32	1
201	270	32	1
206	270	32	1
216	270	32	1
222	270	32	2
224	270	32	1
227	270	32	2
232	270	32	1
244	270	32	1
249	270	32	1
175	271	32	1
176	271	32	1
180	271	32	1
183	271	32	1
184	271	32	1
186	271	32	1
206	271	32	1
208	271	32	1
211	271	32	1
215	271	32	1
231	271	32	1
237	271	32	1
238	271	32	1
246	271	32	2
249	271	32	1
250	271	32	1
175	272	32	1
184	272	32	2
185	272	32	2
198	272	32	1
201	272	32	1
207	272	32	1
209	272	32	1
211	272	32	1
226	272	32	1
235	272	32	1
243	272	32	1
251	272	32	1
181	273	32	1
185	273	32	1
186	273	32	1
205	273	32	1
208	273	32	1
209	273	32	2
211	273	32	1
215	273	32	1
225	273	32	1
229	273	32	1
234	273	32	1
235	273	32	1
236	273	32	3
240	273	32	1
254	273	32	1
179	274	32	1
181	274	32	1
182	274	32	1
203	274	32	1
204	274	32	1
207	274	32	1
210	274	32	1
215	274	32	1
236	274	32	1
237	274	32	1
246	274	32	2
202	275	32	1
203	275	32	1
211	275	32	1
213	275	32	1
238	275	32	2
240	275	32	1
247	275	32	1
174	276	32	1
184	276	32	1
203	276	32	1
235	276	32	1
241	276	32	1
242	276	32	1
243	276	32	1
246	276	32	2
174	277	32	1
176	277	32	2
205	277	32	1
210	277	32	1
216	277	32	1
239	277	32	1
245	277	32	1
176	278	32	1
177	278	32	1
203	278	32	1
204	278	32	3
206	278	32	1
224	278	32	3
235	278	32	1
237	278	32	1
243	278	32	1
248	278	32	1
249	278	32	1
181	279	32	1
205	279	32	1
214	279	32	1
220	279	32	1
242	279	32	2
245	279	32	1
246	279	32	1
174	280	32	3
189	280	32	1
208	280	32	1
220	280	32	1
222	280	32	1
240	280	32	1
246	280	32	1
249	280	32	1
211	281	32	1
226	281	32	1
231	281	32	1
232	281	32	1
233	281	32	1
234	281	32	1
246	281	32	1
254	281	32	1
173	282	32	1
174	282	32	1
175	282	32	1
179	282	32	1
218	282	32	1
220	282	32	1
221	282	32	1
222	282	32	1
226	282	32	1
233	282	32	1
237	282	32	2
242	282	32	1
245	282	32	1
175	283	32	2
211	283	32	1
223	283	32	1
224	283	32	1
236	283	32	1
242	283	32	1
244	283	32	1
245	283	32	2
176	284	32	1
181	284	32	1
184	284	32	1
219	284	32	1
221	284	32	1
