x	y	z	Factors involved in megakaryocyte development and platelet production
235	276	28	1
237	276	28	3
238	276	28	1
235	277	28	1
237	277	28	1
238	277	28	1
236	278	28	4
248	279	28	2
235	280	28	1
239	280	28	1
241	280	28	1
251	280	28	1
210	281	28	1
250	281	28	1
252	281	28	1
234	282	28	3
246	282	28	3
247	282	28	1
237	283	28	1
238	283	28	1
246	283	28	1
247	283	28	1
235	284	28	2
246	284	28	2
248	284	28	1
238	285	28	1
240	285	28	1
244	285	28	1
248	285	28	1
232	286	28	1
246	286	28	1
249	286	28	1
245	287	28	2
246	287	28	3
251	287	28	1
238	288	28	1
244	288	28	1
248	289	28	1
249	289	28	1
226	290	28	2
237	290	28	5
242	290	28	1
244	290	28	1
245	290	28	1
237	291	28	2
241	291	28	1
245	291	28	1
248	291	28	1
250	291	28	1
245	292	28	1
248	292	28	2
250	292	28	2
248	293	28	1
249	293	28	1
240	294	28	1
241	294	28	1
240	295	28	1
241	295	28	1
248	295	28	3
245	297	28	1
240	298	28	1
225	300	28	3
236	300	28	2
234	256	29	2
235	257	29	2
181	258	29	2
190	258	29	1
234	258	29	1
235	258	29	1
237	258	29	1
182	259	29	1
188	259	29	1
229	259	29	1
230	259	29	1
182	260	29	1
227	261	29	1
230	261	29	4
231	261	29	1
221	262	29	1
229	262	29	2
248	262	29	1
232	263	29	1
245	263	29	1
248	263	29	1
178	264	29	1
216	264	29	2
226	264	29	1
229	264	29	1
231	264	29	2
237	264	29	1
245	264	29	1
248	264	29	2
181	265	29	2
232	265	29	1
233	265	29	1
234	265	29	1
238	265	29	1
239	265	29	1
249	265	29	2
178	266	29	1
195	266	29	2
226	266	29	1
228	266	29	1
232	266	29	1
234	266	29	1
248	266	29	1
250	266	29	1
192	267	29	1
194	267	29	1
196	267	29	1
214	267	29	1
234	267	29	2
235	267	29	1
236	267	29	1
201	268	29	1
226	268	29	1
231	268	29	3
237	268	29	1
250	268	29	1
196	269	29	4
232	269	29	1
249	269	29	1
178	270	29	2
200	270	29	1
227	270	29	1
231	270	29	1
250	270	29	1
214	271	29	2
229	271	29	1
234	271	29	1
235	271	29	1
237	271	29	1
240	271	29	1
249	271	29	1
251	271	29	2
214	272	29	2
215	272	29	2
224	272	29	2
233	272	29	3
234	272	29	1
241	272	29	1
245	272	29	2
180	274	29	1
214	274	29	2
234	274	29	2
236	274	29	1
247	274	29	1
250	274	29	1
206	275	29	1
215	275	29	1
231	275	29	2
241	275	29	1
242	275	29	1
245	275	29	1
206	276	29	1
228	276	29	2
234	276	29	2
238	276	29	1
248	276	29	1
249	276	29	3
252	276	29	1
234	277	29	1
236	277	29	1
237	277	29	1
238	277	29	4
239	277	29	1
240	277	29	1
247	277	29	1
250	277	29	1
208	278	29	1
235	278	29	2
236	278	29	2
238	278	29	1
239	278	29	1
244	278	29	4
245	278	29	1
250	278	29	1
206	279	29	1
234	279	29	1
235	279	29	1
236	279	29	2
247	279	29	1
252	279	29	2
256	279	29	1
205	280	29	1
238	280	29	4
245	280	29	2
249	280	29	2
214	281	29	1
233	281	29	1
235	281	29	1
237	281	29	1
238	281	29	1
243	281	29	1
246	281	29	1
247	281	29	2
248	281	29	1
250	281	29	1
251	281	29	1
212	282	29	1
213	282	29	1
233	282	29	1
235	282	29	1
241	282	29	2
244	282	29	1
245	282	29	1
246	282	29	1
248	282	29	1
249	282	29	1
254	282	29	1
233	283	29	2
236	283	29	1
238	283	29	1
241	283	29	2
245	283	29	1
246	283	29	2
249	283	29	2
237	284	29	1
240	284	29	1
248	284	29	3
249	284	29	1
256	284	29	1
226	285	29	2
239	285	29	1
240	285	29	2
244	285	29	1
247	285	29	1
250	285	29	1
254	285	29	1
211	286	29	1
232	286	29	2
234	286	29	2
235	286	29	1
236	286	29	1
241	286	29	1
248	286	29	1
252	286	29	1
228	287	29	1
231	287	29	1
233	287	29	1
238	287	29	1
240	287	29	1
241	287	29	1
244	287	29	1
245	287	29	1
246	287	29	2
224	288	29	1
225	288	29	2
226	288	29	1
236	288	29	1
240	288	29	1
241	288	29	1
244	288	29	2
245	288	29	1
246	288	29	1
249	288	29	1
253	288	29	1
224	289	29	1
225	289	29	1
236	289	29	3
237	289	29	2
243	289	29	1
245	289	29	1
246	289	29	1
222	290	29	1
224	290	29	2
238	290	29	2
243	290	29	1
247	290	29	2
222	291	29	2
224	291	29	1
225	291	29	2
239	291	29	1
240	291	29	1
245	291	29	1
246	291	29	1
249	291	29	3
250	291	29	1
225	292	29	1
227	292	29	1
237	292	29	1
238	292	29	1
241	292	29	2
243	292	29	1
245	292	29	1
247	292	29	1
250	292	29	1
222	293	29	1
225	293	29	3
237	293	29	1
242	293	29	2
246	293	29	1
248	293	29	1
253	293	29	1
221	294	29	1
238	294	29	1
240	294	29	1
242	294	29	1
243	294	29	1
245	294	29	1
246	294	29	3
249	294	29	1
251	294	29	4
223	295	29	1
245	295	29	1
247	295	29	1
222	296	29	1
223	296	29	1
246	296	29	2
249	296	29	1
252	296	29	1
238	297	29	1
240	297	29	1
241	297	29	1
242	297	29	2
243	297	29	2
215	298	29	2
219	298	29	2
226	298	29	1
237	298	29	1
238	298	29	1
248	298	29	2
221	299	29	1
222	299	29	1
227	299	29	3
237	299	29	1
239	299	29	1
241	299	29	1
227	300	29	1
235	300	29	2
236	300	29	1
239	300	29	1
247	300	29	2
223	301	29	1
224	301	29	1
225	301	29	1
230	301	29	2
236	301	29	1
238	301	29	1
247	301	29	1
235	302	29	1
250	302	29	1
240	303	29	1
237	304	29	1
236	305	29	3
225	251	30	1
228	251	30	1
231	253	30	1
237	253	30	1
230	254	30	2
235	254	30	1
238	254	30	3
215	255	30	2
227	255	30	1
232	255	30	1
234	255	30	2
236	255	30	1
237	255	30	1
229	256	30	1
230	256	30	1
233	256	30	1
236	256	30	1
183	257	30	1
204	257	30	2
227	257	30	1
228	257	30	2
236	257	30	1
239	257	30	1
240	257	30	1
176	258	30	1
186	258	30	3
203	258	30	1
226	258	30	1
227	258	30	1
228	258	30	1
239	258	30	1
175	259	30	1
195	259	30	2
209	259	30	2
214	259	30	1
218	259	30	3
219	259	30	2
222	259	30	1
224	259	30	1
227	259	30	1
228	259	30	1
231	259	30	2
235	259	30	1
184	260	30	2
186	260	30	2
190	260	30	1
212	260	30	1
216	260	30	1
217	260	30	2
223	260	30	1
231	260	30	1
232	260	30	1
238	260	30	1
240	260	30	2
187	261	30	1
188	261	30	2
215	261	30	1
216	261	30	1
219	261	30	1
224	261	30	2
226	261	30	1
227	261	30	2
230	261	30	1
231	261	30	1
236	261	30	1
239	261	30	1
244	261	30	3
249	261	30	1
178	262	30	1
194	262	30	1
206	262	30	3
219	262	30	1
220	262	30	1
221	262	30	1
223	262	30	1
231	262	30	1
233	262	30	2
247	262	30	1
248	262	30	2
251	262	30	1
179	263	30	2
197	263	30	2
216	263	30	1
218	263	30	2
219	263	30	1
224	263	30	1
227	263	30	2
228	263	30	1
230	263	30	1
232	263	30	3
233	263	30	2
234	263	30	1
247	263	30	2
249	263	30	1
178	264	30	2
186	264	30	1
188	264	30	1
194	264	30	1
195	264	30	1
226	264	30	2
228	264	30	1
231	264	30	1
232	264	30	2
241	264	30	3
249	264	30	1
192	265	30	1
193	265	30	1
196	265	30	1
197	265	30	2
200	265	30	1
