x	y	z	DNA Replication
184	275	31	1
211	275	31	2
231	275	31	2
236	275	31	1
237	275	31	1
241	275	31	1
198	276	31	1
226	276	31	1
238	276	31	2
243	276	31	1
253	276	31	1
205	277	31	1
233	277	31	1
236	277	31	1
238	277	31	1
245	277	31	1
178	278	31	1
237	278	31	1
242	278	31	1
245	278	31	1
205	279	31	1
207	279	31	2
219	279	31	1
235	279	31	1
238	279	31	1
243	279	31	1
244	279	31	1
246	279	31	1
253	279	31	2
175	280	31	1
217	280	31	1
220	280	31	1
232	280	31	1
237	280	31	1
246	280	31	1
249	280	31	1
250	280	31	2
179	281	31	2
181	281	31	1
184	281	31	1
206	281	31	2
220	281	31	1
222	281	31	1
237	281	31	1
239	281	31	2
245	281	31	1
178	282	31	2
180	282	31	2
223	282	31	1
234	282	31	1
235	282	31	1
239	282	31	1
244	282	31	2
248	282	31	2
176	283	31	1
224	283	31	1
234	283	31	1
235	283	31	2
239	283	31	1
243	283	31	1
251	283	31	1
252	283	31	1
175	284	31	2
176	284	31	1
177	284	31	1
182	284	31	2
219	284	31	2
220	284	31	2
249	284	31	1
250	284	31	2
256	284	31	1
173	285	31	1
218	285	31	1
222	285	31	1
223	285	31	1
224	285	31	1
225	285	31	1
226	285	31	1
229	285	31	1
231	285	31	1
240	285	31	2
243	285	31	1
256	285	31	1
220	286	31	1
221	286	31	1
229	286	31	1
231	286	31	1
238	286	31	1
239	286	31	2
220	287	31	1
223	287	31	1
227	287	31	2
228	287	31	1
229	287	31	1
230	287	31	1
234	287	31	1
236	287	31	1
239	287	31	1
244	287	31	1
252	287	31	1
256	287	31	1
186	288	31	1
187	288	31	2
225	288	31	1
228	288	31	2
230	288	31	1
234	288	31	2
236	288	31	2
240.5	288.5	31.5	2
244	288	31	1
245	288	31	2
247	288	31	1
249	288	31	1
185	289	31	1
205	289	31	1
227	289	31	1
231	289	31	1
233	289	31	1
246	289	31	1
252	289	31	1
221	290	31	1
222	290	31	2
225	290	31	1
234	290	31	1
237	290	31	1
241	290	31	2
242	290	31	1
243	290	31	2
246	290	31	1
247	290	31	1
197	291	31	1
200	291	31	1
222	291	31	1
226	291	31	2
229	291	31	1
230	291	31	1
235	291	31	2
247	291	31	1
249	291	31	1
255	291	31	1
197	292	31	1
198	292	31	1
201	292	31	1
221	292	31	1
222	292	31	1
232	292	31	1
236	292	31	1
242	292	31	1
247	292	31	1
250	292	31	1
251	292	31	1
254	292	31	1
198	293	31	1
223	293	31	1
228	293	31	1
235	293	31	1
238	293	31	1
246	293	31	2
251	293	31	2
220	294	31	1
222	294	31	1
226	294	31	1
227	294	31	1
240	294	31	1
