x	y	z	Leading Strand Synthesis
228	291	27	1
238	291	27	3
251	291	27	2
252	291	27	1
220	292	27	1
226	292	27	1
230	292	27	1
234	292	27	1
237	292	27	1
246	292	27	1
249	292	27	1
210	293	27	1
217	293	27	1
218	293	27	2
219	293	27	1
224	293	27	2
225	293	27	3
227	293	27	2
229	293	27	1
240	293	27	1
243	293	27	1
244	293	27	1
248	293	27	2
250	293	27	1
211	294	27	1
220	294	27	1
224	294	27	1
231	294	27	1
235	294	27	1
237	294	27	1
246	294	27	1
255	294	27	2
211	295	27	2
219	295	27	1
244	295	27	1
249	295	27	1
250	295	27	1
251	295	27	1
255	295	27	1
240	296	27	1
244	296	27	1
245	296	27	1
247	296	27	1
225	297	27	1
236	297	27	2
239	297	27	1
245	297	27	1
246	297	27	1
252	297	27	1
253	297	27	1
221	298	27	1
224	298	27	1
237	298	27	1
239	298	27	2
241	298	27	1
243	298	27	1
244	298	27	1
248	298	27	3
223	299	27	1
226	299	27	1
237	299	27	3
239	299	27	1
240	299	27	1
242	299	27	1
246	299	27	1
247	299	27	1
248	299	27	1
228	300	27	1
238	300	27	1
240	300	27	2
247	300	27	1
248	300	27	1
224	301	27	2
236	301	27	1
240	301	27	1
243	301	27	2
247	301	27	2
250	301	27	1
245	302	27	2
235	304	27	1
238	304	27	1
237	305	27	2
230	262	28	1
231	264	28	1
232	266	28	1
236	267	28	1
231	268	28	1
236	268	28	1
238	268	28	2
236	269	28	1
237	269	28	1
238	270	28	1
236	272	28	1
250	272	28	1
235	273	28	2
235	274	28	1
233	276	28	1
235	276	28	1
238	277	28	1
236	278	28	1
210	279	28	1
235	280	28	1
250	281	28	1
252	281	28	2
234	282	28	1
246	282	28	1
238	283	28	1
246	283	28	2
249	283	28	1
254	284	28	1
245	285	28	2
248	285	28	2
232	286	28	2
235	286	28	1
247	286	28	1
244	287	28	1
245	287	28	1
246	287	28	1
245	288	28	2
243	289	28	1
246	289	28	1
253	289	28	1
237	290	28	1
242	290	28	1
237	291	28	1
239	291	28	1
240	291	28	1
241	291	28	2
245	291	28	1
247	291	28	1
249	291	28	1
222	292	28	1
242	292	28	1
245	292	28	3
248	292	28	2
243	293	28	1
248	293	28	1
241	294	28	1
242	294	28	2
249	294	28	1
242	295	28	1
248	295	28	1
233	256	29	2
233	258	29	1
234	258	29	1
188	259	29	1
183	261	29	1
187	261	29	1
199	261	29	1
226	261	29	1
221	262	29	1
227	262	29	1
232	263	29	1
234	263	29	1
245	263	29	1
215	264	29	1
216	264	29	1
224	264	29	1
231	264	29	2
181	265	29	1
232	265	29	2
233	265	29	1
235	265	29	1
239	265	29	2
249	265	29	1
195	266	29	1
197	266	29	1
228	266	29	1
245	266	29	1
192	267	29	1
194	267	29	1
226	267	29	1
230	267	29	2
231	267	29	1
232	267	29	1
234	267	29	1
237	267	29	1
241	267	29	1
231	268	29	1
235	268	29	1
236	268	29	1
250	268	29	1
196	269	29	1
232	269	29	1
235	269	29	1
237	269	29	2
240	269	29	1
248	269	29	1
196	270	29	2
200	270	29	1
215	270	29	1
231	270	29	1
234	270	29	1
235	270	29	1
238	270	29	2
239	270	29	1
250	270	29	1
182	271	29	1
203	271	29	1
216	271	29	1
229	271	29	1
233	271	29	1
237	271	29	1
249	271	29	1
213	272	29	1
224	272	29	1
239	272	29	1
225	273	29	1
238	273	29	2
213	274	29	2
235	274	29	1
236	274	29	1
184	275	29	1
206	275	29	2
215	275	29	1
235	275	29	2
245	275	29	4
204	276	29	1
205	276	29	2
206	276	29	1
208	276	29	1
228	276	29	1
232	276	29	1
237	276	29	1
238	276	29	3
240	276	29	1
246	276	29	1
249	276	29	1
250	276	29	1
234	277	29	1
238	277	29	1
239	277	29	2
250	277	29	1
251	277	29	1
204	278	29	1
237	278	29	1
238	278	29	1
206	279	29	1
234	279	29	1
236	279	29	1
245	279	29	1
246	279	29	1
249	279	29	1
252	279	29	2
205	280	29	2
234	280	29	2
236	280	29	1
249	280	29	1
254	280	29	1
208	281	29	1
232	281	29	1
237	281	29	3
238	281	29	1
241	281	29	1
245	281	29	1
246	281	29	1
247	281	29	1
249	281	29	1
250	281	29	1
233	282	29	1
241	282	29	1
244	282	29	1
245	282	29	1
246	282	29	1
248	282	29	1
249	282	29	3
254	282	29	1
209	283	29	3
231	283	29	1
233	283	29	1
234	283	29	1
238	283	29	2
248	283	29	1
251	283	29	2
220	284	29	2
222	284	29	1
232	284	29	1
234	284	29	1
244	284	29	2
245	284	29	1
249	284	29	1
219	285	29	4
226	285	29	1
227	285	29	2
238	285	29	1
242	285	29	1
247	285	29	1
250	285	29	1
233	286	29	1
234	286	29	1
241	286	29	1
242	286	29	1
243	286	29	1
236	287	29	1
249	287	29	1
226	288	29	1
232	288	29	1
240	288	29	1
243	288	29	1
224	289	29	1
227	289	29	2
228	289	29	1
236	289	29	1
237	289	29	1
243	289	29	1
245	289	29	1
254	289	29	1
224	290	29	1
227	290	29	1
239	290	29	1
240	290	29	1
245	290	29	1
246	290	29	1
247	290	29	2
226	291	29	1
248	291	29	1
222	292	29	1
225	292	29	1
227	292	29	2
237	292	29	1
239	292	29	1
250	292	29	2
237	293	29	2
239	293	29	2
248	293	29	1
249	293	29	1
236	294	29	2
238	294	29	1
242	294	29	1
243	294	29	1
245	294	29	1
248	294	29	1
220	295	29	1
241	295	29	1
243	295	29	1
219	296	29	1
223	296	29	2
253	296	29	1
240	297	29	1
243	297	29	1
246	297	29	1
247	297	29	1
248	297	29	1
215	298	29	1
221	298	29	1
237	298	29	1
248	298	29	3
227	299	29	1
241	299	29	1
252	299	29	1
240	300	29	1
223	301	29	1
227	301	29	1
236	301	29	1
250	302	29	1
237	304	29	1
236	305	29	1
225	251	30	1
233	252	30	1
231	253	30	1
231	254	30	3
235	254	30	1
229	255	30	2
230	255	30	1
234	255	30	1
236	255	30	1
237	255	30	1
204	256	30	1
229	256	30	1
230	256	30	1
232	256	30	2
235	256	30	1
236	256	30	1
181	257	30	1
192	257	30	1
215	257	30	2
230	257	30	1
237	257	30	1
239	257	30	1
186	258	30	1
215	258	30	1
228	258	30	2
236	258	30	2
237	258	30	1
239	258	30	3
183	259	30	1
189	259	30	1
205	259	30	1
206	259	30	1
209	259	30	1
210	259	30	1
222	259	30	2
224	259	30	1
227	259	30	1
