x	y	z	SUMOylation of DNA replication proteins
235	280	30	1
236	280	30	1
239	280	30	1
241	280	30	2
246	280	30	1
247	280	30	2
248	280	30	1
254	280	30	1
173	281	30	1
179	281	30	1
218	281	30	1
223	281	30	1
234	281	30	2
239	281	30	2
240	281	30	1
245	281	30	1
247	281	30	2
252	281	30	1
254	281	30	2
179	282	30	1
181	282	30	2
182	282	30	1
221	282	30	3
222	282	30	1
234	282	30	1
236	282	30	1
237	282	30	1
239	282	30	1
248	282	30	2
254	282	30	1
179	283	30	1
219	283	30	1
220	283	30	1
222	283	30	2
234	283	30	1
238	283	30	1
240	283	30	1
248	283	30	1
252	283	30	1
254	283	30	1
177	284	30	1
180	284	30	1
220	284	30	2
225	284	30	1
231	284	30	1
233	284	30	1
240	284	30	1
241.666666666667	284.666666666667	31	1
245	284	30	1
252	284	30	1
253	284	30	1
258	284	30	1
211	285	30	1
224	285	30	1
227	285	30	1
232	285	30	1
236	285	30	1
237	285	30	1
242	285	30	1
246	285	30	1
254	285	30	1
256	285	30	1
205	286	30	1
206	286	30	1
225	286	30	1
226	286	30	1
228	286	30	1
230	286	30	1
234	286	30	1
241	286	30	1
249	286	30	1
250	286	30	1
256	286	30	1
207	287	30	1
219	287	30	1
220	287	30	1
225	287	30	1
233	287	30	1
238.5	287.5	30.5	1
243	287	30	1
246	287	30	1
248	287	30	1
228	288	30	1
231	288	30	1
233	288	30	1
234	288	30	1
236	288	30	1
237	288	30	2
238	288	30	1
239	288	30	1
244	288	30	1
249	288	30	1
250	288	30	1
252	288	30	1
200	289	30	1
223	289	30	1
231	289	30	1
235	289	30	1
237	289	30	1
238	289	30	2
198	290	30	1
225	290	30	1
226	290	30	2
232	290	30	1
233	290	30	2
235	290	30	1
248	290	30	1
197	291	30	1
225	291	30	1
235	291	30	1
238	291	30	1
245	291	30	1
246	291	30	2
255	291	30	1
223	292	30	1
226	292	30	1
227	292	30	1
228	292	30	1
230	292	30	1
236	292	30	1
238	292	30	2
245	292	30	2
247	292	30	1
201	293	30	2
231	293	30	1
233	293	30	1
240	293	30	1
243	293	30	1
245	293	30	1
247	293	30	1
253	293	30	1
220	294	30	1
221	294	30	1
225	294	30	1
227	294	30	1
237	294	30	2
238	294	30	2
240	294	30	1
246	294	30	1
251	294	30	1
254	294	30	1
257	294	30	1
258	294	30	1
197	295	30	1
225	295	30	1
241	295	30	1
243	295	30	1
244	295	30	2
247	295	30	1
255	295	30	1
256	295	30	1
257	295	30	1
186	296	30	1
228	296	30	1
232	296	30	1
233	296	30	1
234	296	30	1
252	296	30	1
227	297	30	1
241	297	30	2
248	297	30	1
215	298	30	1
222	298	30	1
228	298	30	1
230	298	30	1
232	298	30	2
233	298	30	2
239	298	30	1
241	298	30	1
246	298	30	1
247	298	30	1
215	299	30	1
216	299	30	1
221	299	30	1
230	299	30	1
231	299	30	1
240	299	30	1
241	299	30	1
248	299	30	1
252	299	30	1
223	300	30	1
226	300	30	1
227	300	30	1
232	300	30	1
233	300	30	1
236	300	30	2
237	300	30	2
241	300	30	1
246	300	30	1
251	300	30	1
226	301	30	1
230	301	30	1
236	301	30	1
239	301	30	1
240	301	30	1
242	301	30	1
245	301	30	1
246	301	30	1
251	301	30	1
223	302	30	1
226	302	30	1
229	302	30	1
240	302	30	2
242	302	30	1
225	303	30	1
237	303	30	2
238	303	30	2
244	303	30	1
236	304	30	3
237	304	30	1
242	304	30	1
223	305	30	1
242	305	30	1
235	250	31	1
215	253	31	1
237	253	31	1
193	254	31	1
231	254	31	1
238	254	31	1
195	255	31	1
229	255	31	1
233	255	31	1
235	255	31	1
202	257	31	1
215	257	31	1
233	257	31	1
238	257	31	1
239	257	31	1
240	257	31	1
215	258	31	2
235	258	31	1
240	258	31	1
227	259	31	1
232	259	31	1
239	259	31	2
212	260	31	1
216	260	31	1
220	260	31	1
227	260	31	1
228	260	31	1
239	260	31	1
241	260	31	1
242	260	31	2
244	260	31	1
245	260	31	1
181	261	31	1
184	261	31	1
187	261	31	1
210	261	31	1
211	261	31	2
226	261	31	1
227	261	31	1
243	261	31	1
244	261	31	1
246	261	31	3
193	262	31	1
220	262	31	1
229	262	31	1
230	262	31	1
233	262	31	1
235	262	31	1
238	262	31	1
246	262	31	2
249	262	31	1
189	263	31	1
197	263	31	2
198	263	31	1
217	263	31	1
218	263	31	1
223	263	31	1
228	263	31	1
229	263	31	1
234	263	31	1
240	263	31	2
187	264	31	1
199	264	31	1
210	264	31	1
214	264	31	2
217	264	31	1
226	264	31	1
238	264	31	1
244	264	31	1
184	265	31	2
214	265	31	1
223	265	31	1
229	265	31	1
236	265	31	2
239	265	31	1
187	266	31	1
189	266	31	1
191	266	31	1
194	266	31	1
221	266	31	1
243	266	31	1
244	266	31	1
247	266	31	2
176	267	31	1
177	267	31	1
182	267	31	1
194	267	31	1
195	267	31	1
216	267	31	1
229	267	31	1
232	267	31	1
235	267	31	3
241	267	31	1
244	267	31	1
246	267	31	3
248	267	31	2
195	268	31	1
205	268	31	1
216	268	31	1
222	268	31	1
232	268	31	1
234	268	31	1
245	268	31	1
247	268	31	1
194	269	31	1
198	269	31	1
209	269	31	1
210	269	31	2
230	269	31	1
232	269	31	1
238	269	31	2
240	269	31	1
248	269	31	1
173	270	31	3
194	270	31	1
199	270	31	1
200	270	31	2
215	270	31	1
231	270	31	1
240	270	31	2
247	270	31	2
